symbol,open_time,probability,side_no_veto,risk_veto,side_with_veto,realized_6h_return,net_return_no_veto,net_return_with_veto
SOLUSDT,2025-11-21 16:00:00+00:00,0.501998929084,0,0,0,-0.02463858231,0,0
SOLUSDT,2025-11-21 17:00:00+00:00,0.504050447631,0,0,0,-0.00417891967188,0,0
SOLUSDT,2025-11-21 18:00:00+00:00,0.498993786392,0,0,0,-0.00833719314497,0,0
SOLUSDT,2025-11-21 19:00:00+00:00,0.492327601864,0,0,0,0.0106150483921,0,0
SOLUSDT,2025-11-21 20:00:00+00:00,0.486384596425,0,0,0,0.00668344079258,0,0
SOLUSDT,2025-11-21 21:00:00+00:00,0.500503652924,0,0,0,-0.0135019787383,0,0
SOLUSDT,2025-11-21 22:00:00+00:00,0.481985213624,0,0,0,0.0119531436768,0,0
SOLUSDT,2025-11-21 23:00:00+00:00,0.490502809324,0,1,0,-0.018884053466,0,0
SOLUSDT,2025-11-22 00:00:00+00:00,0.487688449475,0,1,0,-0.00311380974622,0,0
SOLUSDT,2025-11-22 01:00:00+00:00,0.493985246426,0,1,0,-0.0134383688601,0,0
SOLUSDT,2025-11-22 02:00:00+00:00,0.491303157282,0,0,0,-0.0164024056862,0,0
SOLUSDT,2025-11-22 03:00:00+00:00,0.485533109787,0,0,0,-0.00519153622276,0,0
SOLUSDT,2025-11-22 04:00:00+00:00,0.494346353923,0,0,0,-0.00842586030396,0,0
SOLUSDT,2025-11-22 05:00:00+00:00,0.483935115882,0,0,0,0.00340594059406,0,0
SOLUSDT,2025-11-22 06:00:00+00:00,0.489605675072,0,0,0,-0.0175698891145,0,0
SOLUSDT,2025-11-22 07:00:00+00:00,0.484088473391,0,0,0,-0.0165962110537,0,0
SOLUSDT,2025-11-22 08:00:00+00:00,0.483047807094,0,0,0,0.00952910347018,0,0
SOLUSDT,2025-11-22 09:00:00+00:00,0.487120367972,0,0,0,0.00521862892386,0,0
SOLUSDT,2025-11-22 10:00:00+00:00,0.485429692794,0,0,0,0.0181861499365,0,0
SOLUSDT,2025-11-22 11:00:00+00:00,0.489875262586,0,0,0,0.00734133249132,0,0
SOLUSDT,2025-11-22 12:00:00+00:00,0.482218436165,0,0,0,0.0155790477704,0,0
SOLUSDT,2025-11-22 13:00:00+00:00,0.483338039047,0,0,0,0.0125776150295,0,0
SOLUSDT,2025-11-22 14:00:00+00:00,0.49369505814,0,0,0,-0.00534885550224,0,0
SOLUSDT,2025-11-22 15:00:00+00:00,0.4905514286,0,0,0,-0.0038543223472,0,0
SOLUSDT,2025-11-22 16:00:00+00:00,0.498018778916,0,0,0,0.00031198814445,0,0
SOLUSDT,2025-11-22 17:00:00+00:00,0.492409415352,0,0,0,-0.00015672752919,0,0
SOLUSDT,2025-11-22 18:00:00+00:00,0.496172747716,0,0,0,0.00203490647257,0,0
SOLUSDT,2025-11-22 19:00:00+00:00,0.494316661092,0,0,0,0.0177672955975,0,0
SOLUSDT,2025-11-22 20:00:00+00:00,0.486430900212,0,0,0,0.0284697508897,0,0
SOLUSDT,2025-11-22 21:00:00+00:00,0.488292639822,0,0,0,0.0262160454833,0,0
SOLUSDT,2025-11-22 22:00:00+00:00,0.489192966832,0,0,0,0.0194152046784,0,0
SOLUSDT,2025-11-22 23:00:00+00:00,0.48879393156,0,0,0,0.0230425581942,0,0
SOLUSDT,2025-11-23 00:00:00+00:00,0.490885216925,0,0,0,0.0102319768804,0,0
SOLUSDT,2025-11-23 01:00:00+00:00,0.502725289722,0,0,0,-0.00463463618106,0,0
SOLUSDT,2025-11-23 02:00:00+00:00,0.507759433402,0,0,0,-0.00284505959246,0,0
SOLUSDT,2025-11-23 03:00:00+00:00,0.504432346308,0,0,0,0.00100030778701,0,0
SOLUSDT,2025-11-23 04:00:00+00:00,0.501375732598,0,0,0,-0.00596603946765,0,0
SOLUSDT,2025-11-23 05:00:00+00:00,0.501665020417,0,0,0,-0.00597563778442,0,0
SOLUSDT,2025-11-23 06:00:00+00:00,0.494084155491,0,0,0,0.0119066027524,0,0
SOLUSDT,2025-11-23 07:00:00+00:00,0.484278624732,0,0,0,0.0211081794195,0,0
SOLUSDT,2025-11-23 08:00:00+00:00,0.485332642268,0,0,0,0.00825107958051,0,0
SOLUSDT,2025-11-23 09:00:00+00:00,0.487888577289,0,0,0,0.0213698208932,0,0
SOLUSDT,2025-11-23 10:00:00+00:00,0.481639949379,0,0,0,0.014081255771,0,0
SOLUSDT,2025-11-23 11:00:00+00:00,0.481972450038,0,0,0,0.0126396917148,0,0
SOLUSDT,2025-11-23 12:00:00+00:00,0.497455027815,0,0,0,0.0100091687042,0,0
SOLUSDT,2025-11-23 13:00:00+00:00,0.5032295963,0,0,0,0.00607995136039,0,0
SOLUSDT,2025-11-23 14:00:00+00:00,0.492803163101,0,0,0,0.0144550669216,0,0
SOLUSDT,2025-11-23 15:00:00+00:00,0.505327810434,0,0,0,0.00203206141341,0,0
SOLUSDT,2025-11-23 16:00:00+00:00,0.496239222295,0,0,0,0.00667728962744,0,0
SOLUSDT,2025-11-23 17:00:00+00:00,0.495519196922,0,0,0,-0.00616485272852,0,0
SOLUSDT,2025-11-23 18:00:00+00:00,0.494250833772,0,0,0,-0.0104395188743,0,0
SOLUSDT,2025-11-23 19:00:00+00:00,0.490369337214,0,0,0,-0.00672306995014,0,0
